Losses_val_swish,Losses_test_swish,Losses_val_selu,Losses_test_selu,Losses_val_gelu,Losses_test_gelu
0.0024649752303957,0.0028346001636236,0.0024849588517099,0.0031926091760396,0.0024849588517099,0.0031926091760396
0.0034069940447807,0.0033694149460643,0.002932391827926,0.0032363682985305,0.0036178657319396,0.0033520816359668
0.002546225907281,0.0027854666113853,0.0907649174332618,0.1185106262564659,0.0025086242239922,0.0024493616074323
0.0035464705433696,0.0032937789801508,0.0025644209235906,0.003096017288044,0.0023546649608761,0.0028293028008192
0.0029662002343684,0.0033397478982806,0.0026527543086558,0.003351530060172,0.0043218554928898,0.0043294276110827
0.0022250523325055,0.0031302960123866,0.0028083377983421,0.0030394729692488,0.0766898170113563,0.0970610752701759
0.0028639202937483,0.0025370710063725,0.0023257147986441,0.0026147849857807,0.0059435847215354,0.0062493211589753
0.0307781249284744,0.0316903628408908,0.0020943146664649,0.0025390374939888,0.0059435847215354,0.0062493211589753
0.0081451330333948,0.0101186642423272,0.0603178702294826,0.0733205899596214,0.1145656630396843,0.1661470383405685
0.0712054446339607,0.14497771859169,0.0024996728170663,0.0027752022724598,0.0028033899143338,0.003016049740836
0.0034857995342463,0.0036246133968234,0.0022192301694303,0.0023061076644808,0.0293475538492202,0.0368084050714969
0.0721237957477569,0.1005257964134216,0.0026937623042613,0.0031372446101158,0.0293475538492202,0.0368084050714969
0.0030149009544402,0.0029764457140117,0.0025850078091025,0.003068221732974,0.1227618157863617,0.1626994162797928
0.0021183809731155,0.0023548996541649,0.00236730533652,0.0026736182626336,0.0021572627592831,0.0025081934873014
0.0023258356377482,0.0026938691735267,0.0040684342384338,0.005120706744492,0.0034529736731201,0.0033411716576665
0.0706124976277351,0.0981474816799163,0.0031689212191849,0.0032442600931972,0.0028802063316106,0.0036523134913295
0.0025763616431504,0.0029550672043114,0.0047616777010262,0.0049227215349674,0.0043506948277354,0.0072500351816415
0.0026099018286913,0.0029469218570739,0.0021734291221946,0.0028075259178876,0.0280993431806564,0.0298937428742647
0.0032429329585283,0.0033011464402079,0.0585858114063739,0.0698737725615501,0.0028917286545038,0.0028768507763743
0.0028469711542129,0.0028884962666779,0.0031483594793826,0.0035737955477088,0.0861615166068077,0.1140019968152046
0.0028469711542129,0.0028884962666779,0.0022014721762388,0.0024673016741871,0.0024214514996856,0.0024276690091937
0.0032109098974615,0.0035939458757638,0.0025819304864853,0.0031143419910222,0.0025720102712512,0.002889160066843
0.0025520410854369,0.0032053564209491,0.0032470340374857,0.0035713750403374,0.0022195288911461,0.0025041196495294
0.0132888676598668,0.0189066417515277,0.0359096117317676,0.0434344373643398,0.0029395509045571,0.0032808494288474
0.0032470340374857,0.0035713750403374,0.0021715946495532,0.0021789537277072,0.0026648426428437,0.0033855158835649
0.0034214805345982,0.0028788987547159,0.0633771494030952,0.1129116714000702,0.0059391711838543,0.0076646418310701
0.002571556949988,0.0026340496260672,0.0949636921286583,0.1309871524572372,0.0037840791046619,0.0041686710901558
0.0035142146516591,0.0031076984014362,0.0358747579157352,0.0566316060721874,0.0659434497356414,0.0761844962835311
0.002479268470779,0.0028169953729957,0.0034054173156619,0.0037647478748112,0.0032034025061875,0.0029721294995397
0.0031774099916219,0.0034608526621013,0.0027743086684495,0.0030779021326452,0.0023173540830612,0.0028143897652626
0.0025160736404359,0.0028270662296563,,,0.0031743578147143,0.0028772831428796
0.0937138125300407,0.1235653683543205,,,,
0.0018481466151773,0.0020022563794627,,,,
0.0698754414916038,0.0910655856132507,,,,
0.132941260933876,0.1802189350128173,,,,
0.0024626806844025,0.0031848002690821,,,,
0.0024284727405756,0.0032072998583316,,,,
0.0020578184630721,0.0020571295171976,,,,
0.0022957676555961,0.0027984951157122,,,,
